#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Sound Card
#Serial Number: 
#Date Time: 2020-05-10 01:52:45.408
#Sample rate: 96000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V)
-0.08533200304216716,-4.167342558503151e-05
-0.0853215863755005,-8.708611130714417e-05
-0.08531116970883383,-0.0001038727350533009
-0.08530075304216717,-0.0001149738673120737
-0.0852903363755005,-0.0001414355356246233
-0.08527991970883383,-0.0001769664231687784
-0.08526950304216717,-0.0002082791179418564
-0.0852590863755005,-0.0002351601142436021
-0.08524866970883384,-0.0002595551777630823
-0.08523825304216716,-0.0002747860271483717
-0.08522783637550049,-0.0002810307778418203
-0.08521741970883383,-0.000296375248581171
-0.08520700304216716,-0.0003318905364722013
-0.0851965863755005,-0.0003640635404735804
-0.08518616970883383,-0.0003571051638573408
-0.08517575304216717,-0.0003147004172205925
-0.0851653363755005,-0.0002844864502549171
-0.08515491970883383,-0.0002989005297422409
-0.08514450304216717,-0.0003325915895402431
-0.0851340863755005,-0.0003378260880708647
-0.08512366970883384,-0.0003046076744795148
-0.08511325304216716,-0.0002580161672085067
-0.08510283637550049,-0.0002078067045658207
-0.08509241970883383,-0.0001396606676280499
-0.08508200304216716,-6.022700108587742e-05
-0.0850715863755005,-8.890405297279358e-06
-0.08506116970883383,-2.271030098199844e-06
-0.08505075304216717,-1.348787918686867e-06
-0.0850403363755005,3.020302392542362e-05
-0.08502991970883383,5.803932435810566e-05
-0.08501950304216717,1.570768654346466e-05
-0.0850090863755005,-9.113247506310759e-05
-0.08499866970883384,-0.0001685216557233822
-0.08498825304216716,-0.0001434870064257766
-0.08497783637550049,-5.45179937034355e-05
-0.08496741970883383,-6.076879799365997e-07
-0.08495700304216716,-2.005626447498798e-05
-0.0849465863755005,-5.837180651724339e-05
-0.08493616970883383,-5.288678221404552e-05
-0.08492575304216717,-8.759321644902229e-06
-0.0849153363755005,2.587237395346165e-05
-0.08490491970883383,2.917274832725525e-05
-0.08489450304216717,1.816684380173683e-05
-0.0848840863755005,6.860354915271552e-06
-0.08487366970883384,-1.023197546599741e-05
-0.08486325304216716,-3.047962673008913e-05
-0.08485283637550049,-3.56526579707788e-05
-0.08484241970883383,-2.763210795819759e-05
-0.08483200304216716,-3.927480429410934e-05
-0.0848215863755005,-8.327164687216282e-05
-0.08481116970883383,-0.0001174528151750565
-0.08480075304216717,-9.827152825891972e-05
-0.0847903363755005,-4.981039091944695e-05
-0.08477991970883383,-3.301398828625679e-05
-0.08476950304216717,-5.443813279271126e-05
-0.0847590863755005,-6.024166941642761e-05
-0.08474866970883384,-2.798531204464985e-05
-0.08473825304216716,-5.104346200844397e-06
-0.08472783637550049,-2.776877954604664e-05
-0.08471741970883383,-5.440576933324337e-05
-0.08470700304216716,-2.691312693059444e-05
-0.0846965863755005,3.942078910768032e-05
-0.08468616970883383,8.362345397472382e-05
-0.08467575304216717,9.490316733717918e-05
-0.0846653363755005,0.0001181741245090961
-0.08465491970883383,0.0001659535337239504
-0.08464450304216717,0.000187084311619401
-0.0846340863755005,0.0001446048263460398
-0.08462366970883384,7.784762419766299e-05
-0.08461325304216717,5.362485535445032e-05
-0.08460283637550049,8.320109918717002e-05
-0.08459241970883383,0.0001209434121847153
-0.08458200304216716,0.0001303940080106258
-0.0845715863755005,0.0001196495722979307
-0.08456116970883383,0.0001143263652920723
-0.08455075304216716,0.0001236875541508198
-0.0845403363755005,0.0001426984090358019
-0.08452991970883383,0.0001696429681032896
-0.08451950304216717,0.0002058246172964573
-0.0845090863755005,0.00024213339202106
-0.08449866970883384,0.0002592294476926171
-0.08448825304216717,0.0002454845234751827
-0.08447783637550049,0.0002088982146232948
-0.08446741970883383,0.0001679959241300534
-0.08445700304216716,0.0001363756600767374
-0.0844465863755005,0.0001186276786029339
-0.08443616970883383,0.000111584784463048
-0.08442575304216716,0.0001021323259919882
-0.0844153363755005,7.478101179003716e-05
-0.08440491970883383,3.374717198312283e-05
-0.08439450304216717,6.062677130103111e-06
-0.0843840863755005,5.30085526406765e-06
-0.08437366970883384,4.722503945231964e-06
-0.08436325304216717,-2.651987597343465e-05
-0.08435283637550049,-6.796489469706584e-05
-0.08434241970883383,-6.325729191296966e-05
-0.08433200304216716,5.865702405571938e-06
-0.0843215863755005,9.4239367172122e-05
-0.08431116970883383,0.0001497017219662666
-0.08430075304216716,0.000162223819643259
-0.0842903363755005,0.0001475622411817312
-0.08427991970883383,0.0001202840358018875
-0.08426950304216717,0.0001022587530314922
-0.0842590863755005,0.000121027696877718
-0.08424866970883384,0.0001707156188785578
-0.08423825304216717,0.0002025901339947887
-0.08422783637550049,0.000183597207069358
-0.08421741970883383,0.0001407989766448562
-0.08420700304216716,0.0001216696109622717
-0.0841965863755005,0.0001366033684462309
-0.08418616970883383,0.0001689016353338957
-0.08417575304216716,0.0002112011425197124
-0.0841653363755005,0.0002544496674090624
-0.08415491970883383,0.0002682162448763847
-0.08414450304216717,0.0002373193856328726
-0.0841340863755005,0.0001983202528208494
-0.08412366970883384,0.0001931379083544063
-0.08411325304216717,0.0002043729182332652
-0.08410283637550049,0.0001893311273306374
-0.08409241970883383,0.0001635556109249784
-0.08408200304216716,0.0001846489030867815
-0.0840715863755005,0.0002504684962332249
-0.08406116970883383,0.0002830445300787687
-0.08405075304216716,0.000238833948969841
-0.0840403363755005,0.000175579683855176
-0.08402991970883383,0.0001692487858235836
-0.08401950304216717,0.0002088171895593405
-0.0840090863755005,0.0002234256826341152
-0.08399866970883384,0.0001882859505713306
-0.08398825304216717,0.0001513531897217371
-0.08397783637550049,0.0001601288095117032
-0.08396741970883383,0.0002059973776340879
-0.08395700304216716,0.0002494039945304394
-0.0839465863755005,0.0002682353369891644
-0.08393616970883383,0.0002660907339304686
