#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE0916
#Date Time: 2020-05-14 20:28:42.691
#Sample rate: 1.5873e+06Hz
#Samples: 16384
#Trigger: Source: External 1 Condition: Rising
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 5 V
#Offset: -5 mV
#Symmetry: 0.3 %
#Phase: 180 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Time (s),Channel 1 (V)
0.01783845,-0.2151246629033466
0.01783908,-0.3390543619535814
0.01783971,-0.3403869393628507
0.01784034,-0.2267847152325092
0.01784097,-0.04821934240743971
0.0178416,0.1383414948726533
0.01784223,0.2542757294688596
0.01784286,0.2482791311275895
0.01784349,0.1310123191230663
0.01784412,-0.04988506416904
0.01784475,-0.232781313573822
0.01784538,-0.3440515272381087
0.01784601,-0.3323914749078517
0.01784664,-0.211793219380363
0.01784727,-0.02623181515634648
0.0178479,0.1553318568394584
0.01784853,0.2382848005591992
0.01784916,0.2066360870916142
0.01784979,0.08204009933680827
0.01785042,-0.1011892944213622
0.01785105,-0.2787552341895749
0.01785168,-0.3750339520007541
0.01785231,-0.3463835377035866
0.01785294,-0.2007994557547892
0.01785357,-0.00491057661069158
0.0178542,0.1746542292722591
0.01785483,0.2689340809695268
0.01785546,0.2376185118546825
0.01785609,0.1020287604737311
0.01785672,-0.08619779856762014
0.01785735,-0.259766006109551
0.01785798,-0.3537127134543589
0.01785861,-0.317066834702912
0.01785924,-0.1771462067422627
0.01785987,0.003751176548970392
0.0178605,0.1779856727952903
0.01786113,0.2679346479126171
0.01786176,0.2289567586952045
0.01786239,0.09136814120038569
0.01786302,-0.09519269607970736
0.01786365,-0.2637637383370621
0.01786428,-0.3403869393627928
0.01786491,-0.296078740508811
0.01786554,-0.1521603803213107
0.01786617,0.03639932307323329
0.0178668,0.206302942739811
0.01786743,0.2852581542314928
0.01786806,0.2372853675022073
0.01786869,0.09270071861026669
0.01786932,-0.08053434457925827
0.01786995,-0.2287835813470807
0.01787058,-0.3393875063059931
0.01787121,-0.3010759057929834
0.01787184,-0.1588232673669125
0.01787247,0.02540555944809073
0.0178731,0.1903120138301015
0.01787373,0.2636037713329951
0.01787436,0.2166304176602985
0.01787499,0.07404463488194168
0.01787562,-0.1155145015695245
0.01787625,-0.2840855438267484
0.01787688,-0.3560447239204331
0.01787751,-0.3030747719069781
0.01787814,-0.1561581125484931
0.01787877,0.03373416825540983
0.0178794,0.1983074782844851
0.01788003,0.2682677922649608
0.01788066,0.2139652628424117
0.01788129,0.06305087125634794
0.01788192,-0.126508265195134
0.01788255,-0.290748430872073
0.01788318,-0.3580435900340508
0.01788381,-0.3014090501455027
